Symptom_1,Symptom_2,Symptom_3,Symptom_4,Disease,Description,Medication,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,workout
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Avoid sugary foods
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume probiotics
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Increase intake of garlic
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include yogurt in diet
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Limit processed foods
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Stay hydrated
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume green tea
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat foods rich in zinc
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include turmeric in diet
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat fruits and vegetables
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Avoid sugary foods
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume probiotics
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Increase intake of garlic
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include yogurt in diet
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Limit processed foods
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Stay hydrated
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume green tea
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat foods rich in zinc
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include turmeric in diet
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat fruits and vegetables
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Avoid sugary foods
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume probiotics
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Increase intake of garlic
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include yogurt in diet
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Limit processed foods
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Stay hydrated
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume green tea
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat foods rich in zinc
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include turmeric in diet
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat fruits and vegetables
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Avoid sugary foods
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume probiotics
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Increase intake of garlic
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include yogurt in diet
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Limit processed foods
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Stay hydrated
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume green tea
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat foods rich in zinc
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include turmeric in diet
itching, skin_rash, nodal_skin_eruptions,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat fruits and vegetables
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Avoid sugary foods
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume probiotics
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Increase intake of garlic
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include yogurt in diet
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Limit processed foods
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Stay hydrated
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume green tea
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat foods rich in zinc
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include turmeric in diet
 skin_rash, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat fruits and vegetables
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Avoid sugary foods
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume probiotics
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Increase intake of garlic
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include yogurt in diet
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Limit processed foods
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Stay hydrated
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume green tea
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat foods rich in zinc
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include turmeric in diet
itching, nodal_skin_eruptions, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat fruits and vegetables
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Avoid sugary foods
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume probiotics
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Increase intake of garlic
itching, skin_rash, dischromic _patches,,Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include yogurt in diet
